MUNICIPIO,ID_VEREDA,EXIST_VER,FOTO_VER,MAT_baldos,MAT_horm,MAT_balat,MAT_otro,ITIN_ANCHO,FOTO_ITIN1,FOTO_ITIN2,FOTO_ITIN3,TRANSITAB,RIESG_PUNT,PEL_PUNZ,NUM_PUNZ,FOTO_PUN1,FOTO_PUN2,PEL_HUND,NUM_HUND,FOTO_HUN1,FOTO_HUN2,DESNIVEL,FOTO_DES,EXC_PEND,FOTO_PEN,VEHI_OBST,NUM_VEH_OB,FOTO_VHE1,FOTO_VHE2,OBS_MEN_PU,NUM_OBS_ME,FOTO_OBS1,FOTO_OBS2,ELE_ESPECI,ELE_bancos,ELE_monu,ELE_puntos,ELE_juegos,ELE_otros,ELE_otros1,RAMPAS,NUM_RAM,FOT_RAM1,FOT_RAM2,FOT_RAM3,RAM_DIF,FOT_DIF,PADV_RAM,PGUI_RAM,RAM_ENF,ALTURA_DEL,OBSERVACIO,ACCESIB100
C,29947A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"29948","2",1634738275240.jpg,"1","0","0","0","1",,1634738309571.jpg,,"0","0",,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"0",,,,,,,,,,1=18   2=18,,24.00
C,"29949",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"29951","2",1634739828466.jpg,"1","0","0","0","2",,,1634739839138.jpg,"2","0",,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"0",,,,,,,,,,1=14   2=15,Aceptable,57.50
C,"29952",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"29953",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"29955",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"29956",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"29957",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"29973",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"29974",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"30245",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"30246",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"30433",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,30435B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"30436",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"30437",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"30438",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"30440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"30441",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"30442",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"30443",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,"30446","2",1632232165939.jpg,"0","1","0","0","2",,,1632232204686.jpg,"2","0",,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"1","1",1632232231537.jpg,,,"0",,"0","0","0","16",,77.50
C,"30447","2",1632317175045.jpg,"1","0","0","0","2",,,1632317205255.jpg,"0","1","0",,,,"0",,,,"0",,"0",,"0",,,,"0",,,,"1","0","0","0","0","1","0","0",,,,,,,,,,"14",,41.50
